Index,Consistency,Taxa,Latitude,Obstype
1,1,Non-bony fish,Temperate,Distribution
2,1,Bony fish,Temperate,Phenology
3,1,Bony fish,Temperate,Distribution
4,1,Bony fish,Subtropical,Distribution
5,1,Bony fish,Temperate,Abundance
6,1,Bony fish,Temperate,Distribution
7,1,Bony fish,Temperate,Abundance
8,1,Bony fish,Temperate,Distribution
9,1,Bony fish,Temperate,Abundance
10,1,Bony fish,Temperate,Distribution
11,1,Bony fish,Temperate,Abundance
12,1,Bony fish,Temperate,Abundance
13,1,Bony fish,Temperate,Abundance
14,1,Bony fish,Temperate,Abundance
15,1,Bony fish,Temperate,Abundance
16,1,Bony fish,Temperate,Abundance
17,1,Bony fish,Temperate,Abundance
18,1,Bony fish,Temperate,Abundance
26,1,Benthic crustacea,Temperate,Distribution
27,1,Benthic crustacea,Temperate,Distribution
29,1,Benthic algae,Temperate,Abundance
30,1,Benthic crustacea,Temperate,Abundance
31,1,Benthic algae,Temperate,Abundance
32,1,Benthic algae,Temperate,Abundance
33,1,Benthic molluscs,Temperate,Abundance
34,1,Benthic algae,Temperate,Abundance
35,1,Benthic crustacea,Temperate,Abundance
51,0,Benthic crustacea,Temperate,Abundance
53,1,Benthic molluscs,Subtropical,Distribution
54,1,Benthic molluscs,Subtropical,Distribution
60,0,Benthic molluscs,Subtropical,Distribution
61,0,Benthic molluscs,Subtropical,Distribution
62,0,Benthic molluscs,Subtropical,Distribution
63,0,Benthic molluscs,Subtropical,Distribution
64,1,Benthic crustacea,Temperate,Distribution
65,1,Benthic crustacea,Temperate,Distribution
66,1,Benthic crustacea,Temperate,Distribution
67,1,Benthic crustacea,Temperate,Distribution
68,1,Benthic algae,Subtropical,Distribution
69,1,Benthic algae,Subtropical,Distribution
70,1,Benthic algae,Temperate,Distribution
71,1,Benthic algae,Subtropical,Distribution
72,1,Benthic algae,Subtropical,Distribution
73,1,Benthic algae,Subtropical,Distribution
74,1,Benthic algae,Temperate,Distribution
75,1,Benthic algae,Subtropical,Distribution
76,1,Benthic algae,Temperate,Distribution
77,1,Benthic algae,Subtropical,Distribution
78,1,Benthic algae,Temperate,Distribution
79,1,Benthic algae,Subtropical,Distribution
80,1,Benthic algae,Subtropical,Distribution
81,1,Benthic algae,Subtropical,Distribution
91,0,Benthic algae,Subtropical,Distribution
92,0,Benthic algae,Subtropical,Distribution
93,0,Benthic algae,Subtropical,Distribution
94,0,Benthic algae,Subtropical,Distribution
95,0,Benthic algae,Temperate,Distribution
96,0,Benthic algae,Subtropical,Distribution
97,0,Benthic algae,Subtropical,Distribution
98,0,Benthic algae,Subtropical,Distribution
99,0,Benthic algae,Subtropical,Distribution
100,0,Benthic algae,Temperate,Distribution
101,0,Benthic algae,Temperate,Distribution
102,0,Benthic algae,Temperate,Distribution
103,0,Benthic algae,Subtropical,Distribution
104,0,Benthic algae,Subtropical,Distribution
105,1,Zooplankton,Temperate,Abundance
106,1,Zooplankton,Temperate,Abundance
107,1,Zooplankton,Temperate,Abundance
108,1,Zooplankton,Temperate,Abundance
109,1,Zooplankton,Temperate,Abundance
110,1,Zooplankton,Temperate,Abundance
111,1,Zooplankton,Temperate,Abundance
112,1,Zooplankton,Temperate,Abundance
113,1,Zooplankton,Temperate,Abundance
114,1,Zooplankton,Temperate,Abundance
115,1,Zooplankton,Temperate,Abundance
116,1,Zooplankton,Temperate,Abundance
117,1,Zooplankton,Temperate,Abundance
118,1,Benthic molluscs,Temperate,Community change
119,1,Phytoplankton,Temperate,Community change
120,1,Zooplankton,Temperate,Abundance
121,1,Zooplankton,Temperate,Abundance
122,1,Bony fish,Temperate,Abundance
123,1,Zooplankton,Temperate,Abundance
124,1,Bony fish,Temperate,Abundance
125,1,Benthic molluscs,Temperate,Distribution
126,1,Benthic molluscs,Subtropical,Distribution
