Project,StationName,StationCode,Latitude,Longitude,TripCode,SampleTime_UTC,SampleTime_Local,Year,Month,Day,Time,Depth,SST,Chla,Salinity,SOI,Biomass,AshFreeBiomass,Acartia danae,Acartia fossae,Acartia negligens,Acartia pacifica,Acartia pietschmani,Acartia simplex,Acartia tonsa,Acartia tranteri,Acrocalanus gibber,Acrocalanus gracilis,Acrocalanus longicornis,Acrocalanus monachus,Aetideus acutus,Agetus flaccus,Agetus limbatus,Agetus typicus,Amallothrix tenuiserrata,Bestiolina similis,Calanoides carinatus,Calanoides macrocarinatus,Calanopia aurivilli,Calanopia australica,Calanopia elliptica,Calanopia minor,Calanus australis,Calocalanus contractus,Calocalanus pavo,Calocalanus plumulosus,Calocalanus styliremis,Calocalanus tenuis,Candacia bipinnata,Candacia bradyi,Candacia catula,Candacia cheirura,Candacia discaudata,Candacia ethiopica,Candacia truncata,Candacia worthingtoni,Canthocalanus pauper,Centropages australiensis,Centropages bradyi,Centropages furcatus,Centropages gracilis,Centropages orsinii,Clausocalanus arcuicornis,Clausocalanus brevipes,Clausocalanus farrani,Clausocalanus furcatus,Clausocalanus ingens,Clausocalanus jobei,Clausocalanus mastigophorus,Clausocalanus minor,Clausocalanus parapergens,Clausocalanus paululus,Clausocalanus pergens,Clytemnestra farrani,Clytemnestra scutellata,Copilia hendorffi,Copilia mirabilis,Copilia quadrata,Corycaeus clausi,Corycaeus crassiusculus,Corycaeus speciosus,Corycaeus vitreus,Cosmocalanus darwinii,Ctenocalanus citer,Ctenocalanus vanus,Delibus nudus,Dioithona oculata,Dioithona rigida,Ditrichocorycaeus andrewsi,Ditrichocorycaeus anglicus,Ditrichocorycaeus asiaticus,Ditrichocorycaeus aucklandicus,Ditrichocorycaeus dahli,Ditrichocorycaeus erythraeus,Ditrichocorycaeus lubbocki,Ditrichocorycaeus minimus,Ditrichocorycaeus subtilis,Ditrichocorycaeus tenuis,Eucalanus hyalinus,Euchaeta acuta,Euchaeta concinna,Euchaeta indica,Euchaeta longicornis,Euchaeta marina,Euchaeta marinella,Euchaeta rimana,Euchirella rostrata,Euchirella rostromagna,Euterpina acutifrons,Farranula carinata,Farranula concinna,Farranula curta,Farranula gibbula,Farranula gracilis,Farranula rostrata,Haloptilus longicornis,Heterorhabdus lobatus,Heterorhabdus papilliger,Labidocera acuta,Labidocera cervi,Labidocera farrani,Labidocera kroyeri,Labidocera minuta,Labidocera tasmanica,Lubbockia squillimana,Lucicutia flavicornis,Lucicutia gaussae,Macrosetella gracilis,Mecynocera clausi,Mesocalanus tenuicornis,Metacalanus aurivillii,Metridia lucens,Microsetella norvegica,Microsetella rosea,Nannocalanus minor,Neocalanus gracilis,Neocalanus tonsus,Oculosetella gracilis,Oithona atlantica,Oithona attenuata,Oithona australis,Oithona brevicornis,Oithona decipiens,Oithona fallax,Oithona longispina,Oithona nana,Oithona plumifera,Oithona robusta,Oithona setigera,Oithona similis,Oithona simplex,Oithona tenuis,Oncaea clevei,Oncaea media,Oncaea mediterranea,Oncaea paraclevei,Oncaea scottodicarloi,Oncaea venusta,Oncaea waldemari,Onychocorycaeus agilis,Onychocorycaeus catus,Onychocorycaeus giesbrechti,Onychocorycaeus latus,Onychocorycaeus pacificus,Onychocorycaeus pumilus,Paracalanus aculeatus,Paracalanus denudatus,Paracalanus indicus,Paracalanus nanus,Paracalanus parvus,Pareucalanus sewelli,Parundinella dakini,Parvocalanus crassirostris,Pleuromamma abdominalis,Pleuromamma borealis,Pleuromamma gracilis,Pleuromamma piseki,Pontella aculeata,Pontellopsis macronyx,Pseudodiaptomus aurivillii,Pseudodiaptomus mertoni,Rhincalanus cornutus,Rhincalanus nasutus,Rhincalanus rostrifrons,Sapphirina angusta,Sapphirina nigromaculata,Sapphirina opalina,Sapphirina scarlata,Sapphirina stellata,Scaphocalanus curtus,Scaphocalanus echinatus,Scolecithricella dentata,Scolecithricella longifurca,Scolecithricella minor,Scolecithrix bradyi,Scolecithrix danae,Scolecitrichopsis ctenopus,Stephos maculosus,Subeucalanus crassus,Subeucalanus longiceps,Subeucalanus mucronatus,Subeucalanus pileatus,Subeucalanus subcrassus,Subeucalanus subtenuis,Temora discaudata,Temora turbinata,Temoropia mayumbaensis,Tortanus barbatus,Tortanus gracilis,Triconia conifera,Triconia denticula,Triconia dentipes,Triconia umerus,Undinula vulgaris,Urocorycaeus furcifer,Urocorycaeus lautus,Urocorycaeus longistylis
NRS,Darwin,DAR,12.4,130.768,DAR20120114_2130,2012-01-14T21:30:00Z,2012-01-15T07:00:00Z,2012,1,15,7:00:00,17.4,31.4462,NA,33.6385,La Nina,39.1297,NA,0,0,0,41.12,0,0,0,0,20.56,0,0,0,0,0,0,0,0,493.4397,0,0,0,0,0,20.56,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,82.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.8398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.24,0,0,0,0,0,0,493.4397,0,0,0,0,0,20.56,0,0,0,0,884.0795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.12,0,0,0,0,0,0,2467.1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20120417,2012-04-17T00:12:00Z,2012-04-17T09:42:00Z,2012,4,17,9:42:00,16,30.0875,0.6205499999999999,32.7255,Neutral,27.0307,NA,0,0,0,0,0,0,0,0,22.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.204,0,44.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.3258,0,0,0,0,0,0,198.9179,0,0,0,0,0,353.6318,0,0,0,0,464.1417,0,22.102,0,0,0,0,0,0,0,0,0,0,0,0,198.9179,0,22.102,0,0,0,0,132.6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20120730_0130,2012-07-30T01:30:00Z,2012-07-30T11:00:00Z,2012,7,30,11:00:00,22,24.1451,0.47544,33.9936,Neutral,30.9588,NA,0,0,0,0,0,0,0,0,0,16.0742,0,0,0,0,0,0,0,16.0742,0,0,0,0,0,16.0742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2967,0,64.2967,0,0,0,0,0,0,32.1483,0,0,0,0,0,208.9642,0,0,0,0,225.0384,0,48.2225,0,0,0,0,0,0,0,0,0,0,0,0,80.3709,0,16.0742,0,0,0,0,337.5577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20121030,2012-10-30T22:21:00Z,2012-10-31T07:51:00Z,2012,10,31,7:51:00,18,30.5708,0.7308,34.4619,Neutral,47.8778,NA,0,0,0,0,0,0,0,0,8.9301,7.1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786,0,0,0,0,1.786,0,0,0,0,0,0,28.5763,0,0,0,0,0,32.1483,0,0,0,0,1.786,0,0,0,0,0,0,0,0,0,0,0,1.786,1.786,0,0,0,32.1483,0,0,0,0,330.4136,0,0,0,0,0,0,0,1.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20121209_0300,2012-12-09T03:00:00Z,2012-12-09T12:30:00Z,2012,12,9,12:30:00,21,31.9678,13.2384,34.5114,Neutral,12.8655,NA,50.5188,0,0,0,0,0,0,0,16.8396,0,0,0,0,0,0,0,0,33.6792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6792,0,67.3584,0,33.6792,0,16.8396,33.6792,0,0,0,0,0,0,0,0,0,0,0,0,488.3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5188,0,0,0,0,84.198,0,0,0,0,0,0,185.2357,0,0,0,0,0,0,0,0,0,0,471.5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8396,0,16.8396,0,0,0,0,404.1507,0,0,0,0,0,0,0,33.6792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20130405,2013-04-05T00:10:00Z,2013-04-05T09:40:00Z,2013,4,5,9:40:00,21,30.1876,0.6205499999999999,33.1644,Neutral,3.2164,NA,0,0,0,25.2594,0,0,0,0,16.8396,0,0,0,0,0,0,0,0,8.4198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.099,0,0,0,16.8396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8396,0,0,0,0,0,0,8.4198,117.8773,8.4198,0,0,0,42.099,0,0,0,0,252.5941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20130617_0800,2013-06-17T08:00:00Z,2013-06-17T17:30:00Z,2013,6,17,17:30:00,23,27.0375,NA,34.107,La Nina,11.8236,NA,0,0,0,0,0,0,0,0,5.1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1251,0,0,0,0,0,0,20.5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5004,0,0,0,0,0,0,61.5012,0,0,0,0,0,30.7506,0,0,0,0,143.5028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2502,0,10.2502,0,0,0,0,322.8812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20130617_1500,2013-06-17T15:00:00Z,2013-06-18T00:30:00Z,2013,6,18,0:30:00,25,27.0979,NA,34.1046,La Nina,23.6933,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4358,0,0,0,0,0,0,0,0,0,0,0,14.1453,0,0,0,0,0,99.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1453,14.1453,0,0,0,0,14.1453,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4358,0,0,0,155.598,0,14.1453,14.1453,0,0,0,28.2905,0,0,0,0,0,0,141.4527,0,0,0,28.2905,14.1453,0,0,0,0,28.2905,70.7263,0,0,0,0,0,0,0,56.5811,0,28.2906,0,0,14.1453,0,28.2905,0,0,0,0,0,0,0,0,0,0,14.1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20130916,2013-09-16T01:56:00Z,2013-09-16T11:26:00Z,2013,9,16,11:26:00,22,27.762,0.6063,34.7368,Neutral,32.8878,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0371,0,0,0,0,0,0,0,0,0,0,0,0,458.1139,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0371,0,0,0,0,0,0,0,0,0,64.2967,0,0,0,0,0,0,8.0371,0,0,0,0,0,265.2238,0,0,0,0,160.7417,0,0,0,0,8.0371,0,0,0,0,0,0,0,0,0,16.0742,0,24.1113,0,0,0,0,168.7788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0371,0,0,0,0,0,0,0,0,0
NRS,Darwin,DAR,12.4,130.768,DAR20140117_1950,2014-01-17T19:50:00Z,2014-01-18T05:20:00Z,2014,1,18,5:20:00,24,31.4462,NA,33.6385,Neutral,1.444,NA,0,0,0,0,0,0,0,0,7.3673,0,0,0,0,0,0,0,0,22.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.204,0,0,0,0,0,0,44.204,0,0,0,0,0,0,0,0,0,0,0,0,176.8159,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3673,0,0,0,0,0,0,0,0,0,154.7139,0,0,0,0,0,0,81.0406,0,7.3673,0,0,0,103.1426,0,0,0,0,243.1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3673,0,0,0,0,272.5911,0,0,0,0,0,0,7.3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5713,0,0,0,0,0,0,0,0,0
