Sightings,Year,Month,DayOfYr,DayFromStart
2,2005,1,4,4
2,2005,1,14,14
3,2005,1,15,15
5,2005,1,24,24
2,2005,1,26,26
7,2005,2,36,36
2,2005,4,111,111
12,2005,6,156,156
1,2005,6,158,158
40,2005,6,178,178
25,2005,6,179,179
5,2005,6,180,180
4,2005,7,207,207
0,2005,10,289,289
2,2005,10,290,290
7,2005,10,291,291
17,2005,10,292,292
1,2005,10,294,294
2,2005,10,295,295
3,2005,10,296,296
1,2005,10,297,297
1,2005,10,298,298
6,2005,10,301,301
4,2005,10,304,304
4,2005,11,305,305
3,2005,11,308,308
2,2005,11,309,309
2,2005,11,310,310
5,2005,11,311,311
1,2005,11,313,313
1,2005,11,314,314
3,2005,11,317,317
3,2005,11,318,318
2,2005,11,319,319
2,2005,11,320,320
2,2005,11,321,321
8,2005,11,323,323
4,2005,11,324,324
8,2005,11,325,325
8,2005,11,327,327
3,2005,11,328,328
7,2005,11,329,329
8,2005,11,330,330
8,2005,11,331,331
4,2005,11,333,333
3,2005,11,334,334
2,2005,12,335,335
0,2005,12,336,336
3,2005,12,337,337
0,2005,12,338,338
0,2005,12,339,339
0,2005,12,342,342
1,2005,12,346,346
1,2005,12,349,349
2,2005,12,350,350
4,2005,12,351,351
3,2005,12,352,352
1,2005,12,353,353
1,2005,12,361,361
35,2005,12,363,363
8,2006,1,2,367
0,2006,1,8,373
1,2006,1,10,375
4,2006,1,13,378
3,2006,1,25,390
2,2006,1,26,391
6,2006,1,27,392
3,2006,1,29,394
1,2006,1,31,396
5,2006,2,40,405
5,2006,2,42,407
6,2006,2,43,408
1,2006,2,46,411
7,2006,2,47,412
10,2006,2,48,413
2,2006,2,50,415
0,2006,2,52,417
1,2006,2,55,420
1,2006,2,56,421
6,2006,2,59,424
1,2006,3,79,444
1,2006,8,234,599
1,2006,8,235,600
4,2006,9,272,637
5,2006,10,284,649
0,2006,10,285,650
4,2006,10,286,651
3,2006,10,288,653
4,2006,10,289,654
1,2006,10,290,655
1,2006,10,291,656
1,2006,10,292,657
2,2006,10,293,658
0,2006,10,294,659
2,2006,10,295,660
5,2006,10,296,661
0,2006,10,299,664
3,2006,10,302,667
2,2006,11,306,671
3,2006,11,308,673
4,2006,11,309,674
2,2006,11,312,677
2,2006,11,313,678
2,2006,11,314,679
1,2006,11,319,684
2,2006,11,320,685
2,2006,11,321,686
4,2006,11,322,687
1,2006,11,324,689
6,2006,11,325,690
1,2006,11,326,691
2,2006,11,327,692
2,2006,11,328,693
3,2006,11,329,694
1,2006,11,330,695
2,2006,11,332,697
1,2006,11,333,698
1,2006,11,334,699
2,2006,12,335,700
1,2006,12,336,701
3,2006,12,340,705
6,2006,12,341,706
2,2006,12,342,707
2,2006,12,343,708
2,2006,12,349,714
1,2006,12,350,715
2,2006,12,351,716
0,2006,12,354,719
0,2006,12,355,720
0,2006,12,357,722
3,2006,12,358,723
3,2006,12,361,726
5,2006,12,362,727
1,2006,12,363,728
0,2007,1,3,733
0,2007,1,11,741
0,2007,1,13,743
0,2007,1,15,745
0,2007,1,16,746
0,2007,1,17,747
0,2007,1,18,748
1,2007,1,22,752
7,2007,1,23,753
3,2007,1,26,756
3,2007,1,29,759
0,2007,1,30,760
1,2007,1,31,761
0,2007,2,33,763
0,2007,2,34,764
2,2007,2,38,768
2,2007,2,39,769
3,2007,2,40,770
0,2007,2,42,772
0,2007,2,43,773
6,2007,2,44,774
1,2007,2,47,777
0,2007,2,49,779
1,2007,2,50,780
3,2007,2,57,787
2,2007,2,58,788
0,2007,2,59,789
0,2007,3,60,790
1,2007,3,61,791
2,2007,3,63,793
0,2007,3,64,794
2,2007,3,65,795
2,2007,3,66,796
1,2007,3,69,799
1,2007,3,70,800
2,2007,3,71,801
